,name,description,ResponsibleMissionDirectorate:,LeadOrganization:,ResponsibleProgram:,ProgramDirector:,ProgramManager:,ProjectManager:,PrincipalInvestigator:,Co-Investigator:,Start,End,ProjectManagers:,PrincipalInvestigators:,LeadCenter/Facility:,ProgramDirectors:,Co-Investigators:,ProgramManagers:
10,Quantum Limits of Inertial Sensors,"This proposal aims at the highest performance inertial instrument for space navigation. More specifically, achieving a sensitivity for these instruments beyond the quantum limits fits ideally the critical needs of NASA for improved onboard autonomous navigation technologies, to support the next generation space missions. The final instruments will be based on mode-locked fiber lasers in the cavity of which two pulses circulate; a linear cavity for the accelerometer, a ring for the gyroscope. In both cases, the response to rotation or acceleration is a beat frequency between the two frequency combs corresponding to each of the circulating pulses. While in the ring laser the gyro response is proportional to the linear dimensions, the beat frequency response of the accelerometer is inversely proportional to the linear dimensions. The accelerometer will benefit from miniaturization (integrated optics), while the gyroscope can be made of a fiber ring laser covering a large area (still a very small volume). The scientific challenge involves devising new methods to (i) enhance the response (i.e. a larger beat frequency for the same rotation rate or acceleration) and (ii) reducing the noise below the quantum limit. Fiber lasers do not have the flexibility to act as model systems needed for this basic investigation. Therefore, we will initiate the research with discrete component lasers - specifically optical parametric oscillators, synchronously pumped by a Ti:sapphire laser. The first operation will be to eliminate all sources of mechanical noise until the quantum noise limit has been achieved (and identified). Next, different means of noise squeezing will be attempted. One method involves the use of a degenerate optical parametric oscillator. Another method involves interfering a soliton (with noise characteristic deformed by Kerr effect) with a dispersed pulse. Once the most successful noise reduction scheme has been identified, it will be applied to a fiber system in a linear and ring cavity.  
More »",Mission Support Directorate(MSD),,Center Independent Research & Development: MSFC IRAD,,JohnWDankanich,,DavidDSmith,,Oct2019,Sep2021,,,Marshall Space Flight Center(MSFC),,,
11,"Deep Space Quantum Link
		
			(DSQL)","Quantum optical communications is an emerging space-based technology that could potentially increase the information capacity of communications networks significantly and provide fundamentally secure communication links between trusted nodes within the network using Quantum Key Distribution (QKD). The Deep Space Quantum Link (DSQL) will develop the  technology to perform pioneering experiments on gravitational effects on quantum systems, test the basic assumptions of quantum theory, and demonstrate QKD at deep space distances.  The scientific objectives of the DSQL is to test the coupling of General Relativity, the physics most often associated with cosmology, with Quantum Field Theory, the physics of wave-like particles.  The DSQL will perform three experiments. Experiment A will study the effects of different inertial reference frames on Quantum Teleportation from the DSG to the ISS or to the ground. Experiment B will test for violations of Bell's inequality using quantum teleportation to lunar distances, more than two orders of magnitude longer than previous tests. Experiment C will establish a simple quantum communication link from the DSG to the ISS or to ground stations and evaluate the influence of a curved space time on communications. A Science Definition Team (SDT) was recently selected to aid JPL/NASA in determining the science objectives for the DSQL and the key technologies required for its implementation. The SDT consists of members from University of Illinois, Harvey-Mudd College, University of Maryland, University of Toronto, Canada, and University of Bremen, Germany. The SDT will also draw on expertise as needed from interested researchers at Los Alamos National Laboratory, Max Planck Institute, Germany, University of Ulm, Germany, Leibniz University, Germany, and the National university of Singapore.
More »",Exploration Systems Development Mission Directorate(ESDMD),Jet Propulsion Laboratory(JPL),Physical Sciences Research Program,,MaryRWalsh,UlfEIsraelsson,MakanMohageg,NanYu,Oct2018,Sep2020,,,,DianeCMalarik,,
12,Integration of a semiconductor quantum emitter and a lithium niobate frequency converter for telecom quantum light generation,"Generation of quantum light deterministically and at telecommunications wavelengths has been an insurmountable challenge for execution of quantum networking protocols in a scalable manner, as telecom photons can travel with minimal loss through optical fiber networks, distributing quantum entanglement over long distances. Semiconductor quantum dots have emerged as the most promising platform to generate entangled photons deterministically, enabling scalable quantum networking applications. However, high quality quantum dots operate at wavelengths outside of the telecom bandwidth, and therefore, efficient and low-noise quantum frequency converters are needed to use these quantum emitters for quantum networking purposes. To date, fiber-coupled deterministic entangled photon sources with high efficiency have not been demonstrated, not even at wavelengths other than telecom. This proposal focuses on developing such a source based on quantum dots, coupled to a frequency converter to enable low-loss fiber communications. The focus of this Phase I project is to show the feasibility of developing fiber-coupled quantum emitters and frequency converters separately, and the feasibility for their integration. High-quality-factor optical cavities will be designed and fabricated that, when coupled to quantum dots, ensure efficient extraction of the quantum dot emission into a single-mode fiber. During a separate effort, the feasibility of a frequency converter will be studied, based on a material with ultra-low loss and high nonlinear coefficient, periodically poled thin-film lithium niobate. Thin-film lithium niobate has emerged as a promising platform for integrated quantum photonics, supporting functionalities such as low-loss routing, high-speed switching, and nonlinear quantum processes. Together with high-quality-factor optical cavities, the feasibility of deterministic generation of entangled photon pairs at telecom wavelengths will be shown during Phase I.
						More »",Space Technology Mission Directorate(STMD),Icarus Quantum,Small Business Innovation Research/Small Business Tech Transfer,JasonLKessler,CarlosTorrez,,PooladImany,,Aug2023,Feb2024,TheresaMStanley,,,,,
13,Near-term quantum computing for applications,"From habitat automation to navigation and scheduling of tasks to networking, the challenges of modern space exploration are as much computational as they are aeronautical. Effective space exploration requires autonomous systems to maximize the utility of a mission that is subject to limited resources. Quantum computing holds great potential for helping NASA to advance the frontier of space exploration by solving larger problems more quickly, with higher quality solutions. Because quantum computing is such a young technology, exploiting that potential as soon as possible requires identifying the most promising applications and developing application-specific techniques that fully utilize small-scale hardware, as well as steering hardware development towards those applications. I propose an integrated, multi-faceted research program that pushes forward the state of the art in near-term quantum computing for applications by exploiting the synergy between three candidate quantum computing platforms: quantum annealing (QA), quantum approximate optimization algorithm, and networks of optical parametric oscillators (OPOs). First, I will map problems related to Air Traffic Management and planning the Stratospheric Observatory for Infrared Astronomy to the formalism used by quantum computers. Second, I will address the current challenge in implementing QA and QAOA due to hardware constraints by designing application-specific techniques for compiling higher level algorithms to low-level hardware. Third, I will utilize previous work on assessing the quantumness and performance of quantum annealers to answer analogous questions for OPOs. Lastly, I will design and implement error-correction schemes for quantum annealing based on continuous measurement and feedback. Addressing QA, QAOA, and OPOs together enables a more robust characterization of their relative strengths and weakness, as well as the extraction of general principles applicable to all near-term quantum computing efforts. This unification will accelerate progress towards near-term quantum computing for applications.
More »",Space Technology Mission Directorate(STMD),University of California-Berkeley(Berkeley),Space Technology Research Grants,ClaudiaMMeyer,HungDNguyen,EleanorGRieffel,BirgittaWhaley,BryanAO'gorman,Aug2017,Aug2021,,,,,,
14,Optical Frequency Synthesizer for Quantum Applications,"Vescent Photonics, LLC (Vescent) proposes to develop a compact, low-power, environmentally robust optical fiber frequency comb (OFC) that operates in the visible spectrum (400-800 nm) and is constructed from telecommunications (telecom) components to enable next-generation space-deployed optical atomic clocks and Rydberg-atom based quantum sensors. The proposed system will meet the challenging performance requirements for state-of-the-art quantum sensors and clocks while maintaining a low size, weight, and power (SWaP) in a configurable platform that can be adapted to the diverse needs for several of the key space-deployed applications described in Focus Area S16.08. For example, optical atomic clocks can offer instabilities as low as 4.8x10-17 in a second, opening myriad possibilities for precision sensors addressing NASA’s core interests including accurate positioning, navigation, and timing (PNT) onboard a spacecraft as well as the measurement of weak gravitational fields in near-zero gravity. Rydberg-atom based quantum sensors offer similarly dramatic improvements for electric field and microwave measurements. However, the most promising optical atomic clock platforms (e.g., Sr and Yb lattice clocks and Sr+ and Yb+ trapped ion clocks) and Rydberg-atom based sensor platforms can only operate reliably in laboratory environments, largely due to their reliance on the environmentally susceptible, high-SWaP infrastructure required to frequency stabilize multiple lasers across the visible and near-infrared spectral regions. OFCs are an ideal substitute that can significantly reduce both SWaP and complexity of the optical atomic clock or quantum sensor. However, there is a clear and critical gap in field-deployable, low-SWaP, visible OFCs. Our proposed solution exploits rugged nonlinear micro-optic modules in telecom-style packaging to synthesize arbitrary visible frequencies from Vescent’s existing radiation-hardened, environmentally robust OFC.
						More »",Space Technology Mission Directorate(STMD),"Vescent Photonics, Inc.",Small Business Innovation Research/Small Business Tech Transfer,JasonLKessler,CarlosTorrez,,BennettSodergren,,Aug2023,Feb2024,HaniSDaniel,,,,,
15,Atomic System for Quantum Secure Communications,"In the next decade, quantum technologies will provide revolutionary advances in communications, sensing and metrology, information processing, timekeeping, and navigation. Of particular interest to this NASA solicitation is the transformative potential of quantum technology in the realm of communications. Furthermore, transmission of quantum information over arbitrary distances raises new possibilities in sensing, networked clocks, and distributed quantum computation. The entanglement distribution at the heart of all these applications relies on the same underlying “quantum repeater” technology. ColdQuanta’s objective in this Phase II SBIR is to produce a critical enabling quantum repeater component: a long-lived quantum memory that is strongly coupled to optical fields for storage and recall of single photons. During Phase I, ColdQuanta investigated generation of atomic ensembles with ultra-high optical density (OD>100) for generation and storage of quantum information because high OD is critical for attaining high memory efficiency. However, the residual atomic motion in the Phase I ensemble results in dephasing of the quantum memory on a timescale of several microseconds, rather than the many milliseconds required for long-range quantum networking. Nevertheless, the Phase I study demonstrated ColdQuanta’s ability to produce high OD ensembles of cold atoms to boost memory efficiency. The remaining task, proposed for Phase II, is to modify the Phase I atom ensemble generation scheme by trapping the atoms in an optical lattice, which limits residual motion and therefore motional dephasing allowing memory lifetimes up to 0.3 seconds to be observed. Development and fabrication of the photon-coupled quantum memory system in Phase II will be highly efficient because the system can be produced by minor modification of ColdQuanta’s existing DoubleMOT commercial product, which comprises the vacuum cell, magnetics, and optics needed to produce cold atom ensembles.
						More »",Space Technology Mission Directorate(STMD),"ColdQuanta, Inc.",Small Business Innovation Research/Small Business Tech Transfer,JasonLKessler,CarlosTorrez,,,ThomasRNoel,Aug2019,Sep2023,TheresaMStanley,JohnGuthrie,,,,
16,Atomic System for Quantum Secure Communications,"The future of secure ground-space and space-space communications relies on development of quantum secure communications (QSC) systems. ColdQuanta proposes to develop QSC devices based on compact, robust vacuum systems containing dense ensembles of cold, trapped rubidium atoms. In particular, we propose to develop a source of high-flux, high-coherence entangled photon pairs (biphotons). These biphotons can be used to transmit information in a provably secure manner that is consistent with existing QKD protocols and other real-time secure information transfer protocols. The proposed atomically sourced biphotons outperform photon pairs from existing solid-state sources by over a factor of 1000 in coherence time and spectral linewidth. The narrow spectral linewidth of the atomically sourced biphotons makes them compatible with direct interfacing with downstream atomic systems, opening vast new vistas in the potential for long-range QSC and quantum networking. A second direction that further pushes the state-of-the-art in highly-coherent quantum optical systems for QSC is our second proposed device that provides efficient storage and recall of single-photon states. The single photons are stored in a coherent collective excitation of a cold atomic ensemble and can later be retrieved when the downstream QSC system is ready. Together, these devices represent a dramatic step forward in the quality of commercially available QSC hardware components. Nevertheless, the parallel development of the devices will be highly efficient due to their shared reliance on identical underlying cold atom hardware. These devices (and potentially several other related quantum optical devices) will be different laser and optical packages wrapped around an identical vacuum system for production of atomic ensembles with extremely high optical density. Phase I will demonstrate the underlying atom ensemble hardware and will complete system-level designs of the proposed QSC hardware components.
						More »",Space Technology Mission Directorate(STMD),"ColdQuanta, Inc.",Small Business Innovation Research/Small Business Tech Transfer,JasonLKessler,CarlosTorrez,,ThomasNoel,,Jul2018,Feb2019,EvanJKatz,,,,,
17,Atomic System for Quantum Secure Communications,"Under this Phase II-Extension, ColdQuanta proposes to design and build the Quantum Atomic Lattice Module (QuALM), a compact 1064 nm optical lattice module for trapping an atom ensemble, and the Quantum Repeater Atomic Memory Module (QuRAMM), a 795 nm laser system used to print quantum information on an atomic ensemble for memory storage and retrieval. The modules will be integrated with the Quantum Cold Atom Laboratory (QuCAL) platform producing a research-grade quantum repeater system. Also integrated into the QuCAL will be the Phase II generated quantum memory physics package. All together the system will preserve and recall quantum information in the spin wave of a lattice-trapped atomic ensemble for quantum communication network applications. The complete system will be delivered to NASA for validation in an environment relevant to currently proposed future communication networks. The QuALM contains a 1064nm fiber laser with intensity and timing control used to confine the atom motion. This laser creates the coherence spin wave to store coherence information in the quantum memory. The QuRAMM will generate two hyperfine states resonant frequency components for writing and reading entangled information. To preserve the high fidelity of encoded quantum information, the module design will ensure the write and read pulses are phase coherent. Coherence phase locking or phase modulation techniques will be employed. QuALM will be able to support most optical dipole trap applications and QuRAMM will be able to support a wide variety of transition processes using the phase coherent laser pulses. Applications such as free-space atom accelerometers utilizing stimulated-Raman process, lattice-based gravimeters, and Ramsey-type atomic clocks can be enabled by simply replacing the laser diode to 780nm (or 852 nm for Cs) and shifting the electronically controlled laser lock frequency.
						More »",Space Technology Mission Directorate(STMD),"ColdQuanta, Inc.",Small Business Innovation Research/Small Business Tech Transfer,JasonLKessler,CarlosTorrez,,,,Apr2021,Aug2022,TheresaMStanley,,,,,
18,Silicon Germanium Quantum Well Solar Cell,"A single crystal SiGe has enormous potentials for high performance chips and solar cells. This project seeks to fabricate a rudimentary but 1st cut quantum-well photovoltaic (PV) cell and assess/demonstrate PV function. Quantum-well structures embodied on single crystal silicon germanium drastically enhanced carrier mobilities.  The cell-to-cell circuits of quantum-well PV cells are laid out at the bottom of epitaxial layers, unlike the circuits laying out at the top of the conventional PV cells which cut off the incident solar flux up to 15% level. Since the circuit layout is built at the bottom of PV array, the circuits are densely laid out to reduce the internal resistance substantially. Again since silicon germanium compound has much broader bandgap structure than silicon alone, it can utilize more solar energy to free up valence band electrons. Structurally, the sapphire substrate surface of quantum-well PV cells is very strong and does not require any special protective coatings and frames to hold them. Therefore, the anticipated life of quantum-well PV cells is more than ten-times longer than Si PV cells. Summing up these advantages of quatum-well PV cells, the overall conversion efficiency would reach well beyond 35% and the energy density would be tripled as compared to the conventional PV cells. The overall cost factor would be 5 cents per kWh competitively.  
More »",Mission Support Directorate(MSD),,Center Independent Research & Development: LaRC IRAD,,JulieAWilliams-byrd,GlenCKing,GlenCKing,,Jan2013,Oct2014,,,Langley Research Center(LaRC),,,
19,Quantum-memory Wavelength-Division Multiplexing (QWDM),"Physical Sciences Inc. (PSI) and the University of Illinois Urbana-Champaign (UIUC) will develop integrated optical frequency shifters to enable Quantum-memory Wavelength-Division Multiplexing (QWDM). Our approach will enable the connection of multiple quantum memory registers across a free-space or fiber optical channel, increasing the bandwidth of near-term quantum networks by 10–100×. As most optical quantum memories operate at a single wavelength we cannot readily apply wavelength-division multiplexing (WDM) techniques to increase the bandwidth of a quantum link. To overcome this challenge, we propose to utilize a high-efficiency frequency shifters at the transmitter to shift each quantum register within a memory unit onto a separate wavelength channel that we can combine using standard WDM techniques. After transmitting the multiplexed signal over a free-space or fiber link, a complimentary device at the receiver will de-multiplex the photons and a second set of frequency shifters will shift the wavelengths back to original native frequency of the quantum memory’s register. Within Phase I, we will design and demonstrate a compact on-chip, high-efficiency frequency shifter operating at a native quantum memory wavelength using an approach that can be readily adapted to any existing quantum memory configuration at visible and near-infrared wavelengths. These results, in conjunction with an architecture-design that can efficiently shift and route multiple photons to different registers within a quantum memory, will pave the way for the creation of a highly scalable quantum networks using QWDM.
						More »",Space Technology Mission Directorate(STMD),"Physical Sciences, Inc.",Small Business Innovation Research/Small Business Tech Transfer,JasonLKessler,CarlosTorrez,,ChristopherEvans,,May2021,Jun2022,TheresaMStanley,,,,,
20,"Quantum Entanglement and High Brightness Laser Source
		
			(OCR)","Our focus is on demonstrating high precision (sub-micron) laser ranging for Navigation using a unique high-sensitivity optical correlation receiver with both classical laser pulses and an entangled-photon laser transmitter. We used short-pulsed diode lasers with classical short pulses to demonstarte the receiver prototype.  We published this result at a recent conference: https://spie.org/Publications/Proceedings/Paper/10.1117/12.2225947?origin_id=x4325&start_volume_number=9800   and as a NASA Tech Brief:   http://www.techbriefs.com/component/content/article/ntb/tech-briefs/photonics-optics/24127   Our next steps are 1) to use femtosecond lasers for the classical light pulses.  2) to build an entangled photon sources laser transmitter 3) to test the laser ranging precision and trades with these two sources to achieve sub-micron ranging over large distances.1.             Abstract This is a new effort for the development of quantum technology and toward a world-class quantum entanglement demonstration.  We propose to develop a high brightness entangled photon source at 1064 nm using a nonlinear crystal.  The entangled photon laser transmitter and ultra-sensitive receiver permits high-precision over very large distance for orders of magnitude improvements to the Global Positioning System,  formation flying, gravity wave and field measurements and very long baseline interferometry. 2.            ObjectivesQuantum communications has recently matured from a purely fundamental research area of quantum physics to an applied science with a potentially huge economic impact.  The emergence of applications and technologies based on the foundations of quantum physics has revolutionized our understanding of information theory.  Quantum superposition and entanglement constitute a novel type of resources that enables new developments in the fields of communications, computation, and metrology.  All these quantum technology applications are based on the development of an efficient laser source for entangled pairs of photons.  This is a first and necessary step.  The overall technical objective is to demonstrate a practical use for quantum entanglement-based systems.  With an entangled photon source can pursue the following ideas: 1) quantum communication 2) precision laser ranging 3) space optical links for a world-wide network of ultra-precise clocks 4) quantum key distribution 5) improved imaging.  Our focus for this IRAD is on demonstrating high precision (sub-micron) laser ranging for Navigation using an entangled-photon transmitter and a unique optical correlation receiver. 3.            Justification NASA PracticalThe entangled photon laser transmitter and ultra-sensitive receiver permits high-precision (approaching fundamental limits) over very large distance for orders of magnitude improvements to the Global Positioning System,  formation flying, gravity wave and field measurements and very long baseline interferometry.   Our recent work on a correlation receiver provides a strong contribution to this field.  NASA Space Technology Research Fellowship (NSTRF) quantum optics PhD graduate student Timothy Rambo (Northwestern University)  (https://www.nasa.gov/directorates/spacetech/strg/2012_class.html#.V6H402VgFhM) conducted this work at NASA-GSFC with Dr. Krainak in the summer of 2015.  We used short-pulsed diode lasers to work on the prototype.  Further work is needed with femtosecond lasers (already in-hand) and entangled photon sources (proposed here).  Our work (and need) for precision ranging differentiates us from and provides a complement to the US Department of Defense (DoD) efforts.NASA relation to US  University and DoD effortsOur plan is to cooperate with the US University and DoD efforts.  Dr. Krainak (NASA-GSFC 554) has maintained close and continuous contact with University of Maryland Joint Quantum Institute members: Dr. Alan Midgall (http://jqi.umd.edu/people/fellows), Dr. Joshua Bienfang & Dr. Alessandro Restelli (http://jqi.umd.edu/people/research-scientists).   Ardeshir Azarbarzin (560) under direction from Chris Scolese (NASA-GSFC 100) is establishing a connection to the Space and Naval Warfare Command http://www.public.navy.mil/spawar/Pages/default.aspxNASA relation to International effortsDr. Krainak has been in continuous contact with the Austrian quantum optics group that hopes to conduct a quantum entanglement experiment on the International Space Station. (http://www.iqoqi-vienna.at/home/research-groups/ursin-group/quantumopticsinspace/)Dr. Krainak traveled to their recent meeting at the European Space Technology Center to discuss possibly collaboration in supplying a NASA laser satellite-tracking ground station.  We have been conducting optical communications laser ground station experiments at the NASA-GSFC Geoscience and Geophysical Astronomical Observatory (GGAO) and at White Sands Complex.International competitionChina recently launched a satellite to conduct quantum communication experiments  http://usa.chinadaily.com.cn/china/2016-05/23/content_25421841.htm4.             Research and Development PlanA. Entangled photon laser transmitter:We propose to use a commercial of the shelf 532nm frequency doubling PPLN crystal (Thorlabs, Model SHG3-1 and SHG3-10) for parametric frequency down conversion.  The crystal will produce pairs of photons at 1064 nm when it is pumped by 532 nm laser.  We then use a polarization beam splitter to combine two orthogonal polarized beams.  Due to the uncertainty principal, the combined beam will be polarization entangled.  Figure 1 shows the proposed experiment setup.  We will perform polarization correlation test to demonstrate a violation of a Bell inequality using this entangled source.Figure 1. Entangled photon transmitterCoincidence detection rate will be recorded for various setting of polarizer angles.  In this case, we will only detect 50% of the entangled pairs because paired photon could both transmit through the beam splitter to APD A or to APD B.  The  Bell’s inequality test is the quantum optics standard for verifying photon entanglement and quantifying entanglement quality.  The density matrix of its state will also be analyzed using quantum state tomography (QST).Figure 2. Simple entangled photon test systemB. Practical, High Signal-to-Noise Ratio Entangled photon receiverNanometer ranging with an intensity interferometer (eliminates sensitivity to vibration and need for expensive optics) with a single photon sensitive receiver can be achieved[1]. This work recently received an SPIE Best Paper Award.  We previously demonstrated a proof-of-concept optical correlation receiver that has been shown[2] to provide excellent results for entangled photons.   We constructed a fourth-order interferometer using beam splitters and quarter-wave plates as shown in Figure 3.  Both beamsplitters are polarizing. The pulsed light source was a Picoquant 780 nm wavelength laser diode with a 70 ps pulse width and 2.5 nm spectral width (360 fs coherence time).  The detectors are silicon avalanche photodiode arrays (Sensl Model MicroFC-SMA-10010) with an on-chip high-pass filtered output that provides good photon number resolution.  A random phase is introduced in one beam (e.g. with a moving mirror driven by a piezo-electric-transducer (PZT). We used an oscilloscope to subtract the outputs of the two detector arrays (directly measuring I 1 (t) – I 2 (t)). We measured the variance of the difference of detector outputs over 10,000 optical pulses at each micrometer position to ensure the average phase induced by the PZT was 0.  The experimentally observed fourth-order correlation peak and the theory are shown in Figure 4.  In this IRAD we will use this optical correlation receiver to integrate entangled-photons to provide sub-micron laser ranging over long distance. Figure 3. Fourth-order correlator proof-of-concept experiment.  Both beamsplitters are polarizing.Figure 4.  Normalized fourth-order correlator experimental and theoretical resultC. Laser ranging experimental testsWe will conduct open-path atmospheric laser ranging experiments at the 1064 nm wavelength using the entangled-photon transceiver and our optical test range (Figure 5).Figure 5. Cell phone tower as viewed from NASA –GSFC Building 33 fourth floor window with microprism retroreflector cooperative target (low-power laser pointer illuminated) for open-path test range.5.    Future Development and Funding PlanCommunication and NavigationPrecision laser ranging for the Global Positioning System, formation flying and for a world-wide/planetary network of ultra-precise clocks is directly in the NASA HQ Space Comm and Nav roadmap.   A successful real-world practical demonstration of precision ranging with quantum entanglement technologies would pave the way to a NASA HQ funded effort (SCaN).Astrophysics, Earth and planetary sciencePrecision laser ranging is vital to gravitational wave and gravity field measurements and very long baseline interferometry.    The understanding and analysis of the propagation of the wave function over long distances has been (since Einstein’s 1935 paper) and continues to be a fundamental physics question.  A successful real-world practical demonstration of precision ranging with quantum entanglement technologies would pave the way to a NASA HQ funded effort (APRA, ESTO-ACT, PICASSO). [1] Femtosecond photon-counting receiver Michael A. Krainak ; Timothy M. Rambo ; Guangning Yang ; Wei Lu ; Kenji Numata Proc. SPIE 9858, Advanced Photon Counting Techniques X, 98580S (May 5, 2016);[2] Iskhakov, T. Sh; Spasibko, K. Yu; Chekhova, M. V.; et al. ""Macroscopic Hong-Ou-Mandel interference,"" New Journal of Physics Vol. 15, 093036 (2013)
More »",Space Technology Mission Directorate(STMD),,Center Innovation Fund: GSFC CIF,MichaelRLapointe,PeterMHughes,,MichaelAKrainak,,Oct2016,Sep2017,TerenceADoiron,,Goddard Space Flight Center(GSFC),,StevenXLi,
